Company,Position,GL_Job,Dept
Canadian Niagara Hotels Inc,New Business Dev,549080087 NBD Wages,007300-Sales
Canadian Niagara Hotels Inc,Sales Admin,530080087-Sal,007300-Sales
Canadian Niagara Hotels Inc,Sales Co Ordinator,540080087-Hr No Un W,007300-Sales
Canadian Niagara Hotels Inc,Sales Group Res,540080087-Hr No Un W,007300-Sales
Canadian Niagara Hotels Inc,Sales Manager,530080087-Sal,007300-Sales
Canadian Niagara Hotels Inc,Content & Soc. M,540080086-Hr No Un W,007301-Marketing
Canadian Niagara Hotels Inc,Dig Mrkt & Web Dev Mgr,530080086-Sal,007301-Marketing
Canadian Niagara Hotels Inc,Digi Mrkt Specialist,530080086-Sal,007301-Marketing
Canadian Niagara Hotels Inc,Graph Design Mgr.,530080086-Sal,007301-Marketing
Canadian Niagara Hotels Inc,Graphic Designer,530080086-Sal,007301-Marketing
Canadian Niagara Hotels Inc,Market Co-ordin,530080086-Sal,007301-Marketing
Canadian Niagara Hotels Inc,Marketing,540080086-Hr No Un W,007301-Marketing
Canadian Niagara Hotels Inc,Marketing_Media Buyer,530080086-Sal,007301-Marketing
Canadian Niagara Hotels Inc,Mrktg Prod Coord,540080086-Hr No Un W,007301-Marketing
Canadian Niagara Hotels Inc,VP Mktg Bus Dev,530080086-Sal,007301-Marketing
Canadian Niagara Hotels Inc,Web Developer,540080086-Hr No Un W,007301-Marketing
Canadian Niagara Hotels Inc,Web Developer Jr,540080086-Hr No Un W,007301-Marketing
Canadian Niagara Hotels Inc,Dir of Revenue,531060080 Revenue Salaries,007400-Revenue Mgmt
Canadian Niagara Hotels Inc,Revenue Analyst,531060080 Revenue Salaries,007400-Revenue Mgmt
Canadian Niagara Hotels Inc,Revenue Mgr,531060080 Revenue Salaries,007400-Revenue Mgmt
Canadian Niagara Hotels Inc,Revenue Mgr.,541060080 Rev Mgmt,007400-Revenue Mgmt
Canadian Niagara Hotels Inc,Admin Assistant,543170084-Res Admin,007401-Reservations
Canadian Niagara Hotels Inc,Dir Reservations,530070084-Sal,007401-Reservations
Canadian Niagara Hotels Inc,Int Res Agent,543270084-Internet R,007401-Reservations
Canadian Niagara Hotels Inc,Lead Reserv Agent,543770084-MFV ResLAg,007401-Reservations
Canadian Niagara Hotels Inc,Res Analyst,541060080 Rev Mgmt,007401-Reservations
